DICTION              3     202212 Institutes                      3000000300001 
1CANALA    (Univ. of Alberta, Edmonton, Alberta)                  3000000300002 
1CANBUQ    (Bishop University, Lennoxville, Quebec)               3000000300003 
1CANCAN    (Canada)                                               3000000300004 
1CANCPO    (A.E.C.L. Commercial Products, Ottawa, Ontario)        3000000300005 
1CANCRC    (A.E.C.L., Chalk River, Ontario)                       3000000300006 
1CANCRL    (Carleton University, Ottawa, Ontario)                 3000000300007 
1CANGUE    (Univ. of Guelph, Guelph, Ontario)                     3000000300008 
1CANKQU    (Queen's University, Kingston, Ontario)                3000000300009O
1CANLUQ    (Laval University, Sainte-Foy, Quebec)                 3000000300010 
1CANMCG    (McGill University, Montreal,Quebec)                   3000000300011 
1CANMCM    (McMaster University, Hamilton, Ontario)               3000000300012 
1CANMGW    (Sir George Williams Univ., Montreal, Quebec)          3000000300013 
1CANMNA    (Univ. of Manitoba, Cyclotron Lab., Winnipeg, Manitoba)3000000300014 
1CANMON    (Univ. of Montreal, Montreal, Quebec)                  3000000300015 
1CANMPT    (Ecole Polytechnique de Montreal, Quebec)              3000000300016 
1CANMRC    (National Research Council, Montreal Lab., Quebec)     3000000300017 
1CANOTC    (National Research Council, Ottawa, Ontario)           3000000300018 
1CANOTU    (Univ. of Ottawa, Ottawa, Ontario)                     3000000300019 
1CANPIN    (A.E.C.L., Whiteshell Nuc.Res.Establ.,Pinaua,Manitoba) 3000000300020 
1CANQU     (Queen's Univ., Kingston, Ontario)                     3000000300021 
1CANSAS    (Univ. of Saskatchewan, Saskatoon, Saskatchewan)       3000000300022 
1CANSFU    (Simon Frazer University, Burnaby, B.C.)               3000000300023 
1CANSMR    (Saint Mary's Univ., Halifax, Nova Scotia)             3000000300024 
1CANTMF    (Tri University Meson Facility, Vancouver, B.C.)       3000000300025 
1CANTOR    (Univ. of Toronto, Toronto, Ontario)                   3000000300026 
1CANUBC    (Univ. of British Columbia, Vancouver, B.C.)           3000000300027 
1CANUWO    (Univ. of Western Ontario, London, Ontario)            3000000300028 
1CANVCT    (Univ. of Victoria, Victoria, B.C.)                    3000000300029 
