DICTION              7     202212 Conferences                     3000000700001 
            ===Note: New codes added to this dictionary should not3000000700002X
             exceed a length of 8 characters (2 digits plus 6     3000000700003X
             letters), due to limitations in CINDA.  For longer   3000000700004X
             conference codes existing in this dictionary the     3000000700005X
             characters 9 and 10 are dropped in CINDA.  The       3000000700006X
             conference codes showing up in the CINDA book may    3000000700007X
             differ and must not be used for input.               3000000700008X
55ANS      (Nuclear Sci.and Engineering Congress, Cleveland 1955) 3000000700009 
           (Nuclear Science and Engineering Congress, Cleveland,  3000000700010 
           12-16 December 1955)                                   3000000700011 
55GENEVA   (1st UN Conf.Peaceful Uses Atomic Energy, Geneva 1955) 3000000700012 
           (1st U.N. Conf. Peaceful Uses of Atomic Energy, Geneva,3000000700013 
           8-20 Aug. 1955)                                        3000000700014 
55MOSCOW   (USSR Conf. Peaceful Uses of At. En., Moscow 1955)     3000000700015 
           (Conf. of the USSR Academy of Sciences on the Peaceful 3000000700016 
           Uses of Atomic Energy.  Moscow, USSR, 1-5 July 1955)   3000000700017 
           =English translation in AEC-TR-2435                    3000000700018 
56AMSTERDM (Conf. on Nuclear Reactions., Amsterdam 1956)          3000000700019O
           (Int'l Conf. on Nucl. Reactions, Amsterdam,Netherlands,3000000700020O
           2-7 July 1956) Proc. publ. in Physica 22 941-1196.     3000000700021O
            *** Enter under journal-code PHY 22                   3000000700022O
56BNL      (Resonance Absorption Conf., Brookhaven 1956)          3000000700023O
           (Conf. on Resonance Absorption of Neutrons,            3000000700024O
           Brookhaven National Lab, 24-25 Sept 1956)              3000000700025O
            *** To be entered as BNL-433                          3000000700026O
56KIEV     (Kiev Conf., Kiev 1956)                                3000000700027 
57ANS      (American Nuclear Society Meeting, New York 1957)      3000000700028 
           (American Nuclear Society Meeting, New York, N.Y.,     3000000700029 
           28-31 October 1957)                                    3000000700030 
57COLUMBIA (Columbia Conf., New York 1957)                        3000000700031O
           (International Conf. on Neutron Interactions with      3000000700032O
           Nuclei, Columbia University, New York, Sept 1957)      3000000700033O
            *** proceedings publ as TID-7547.                     3000000700034O
57MOSCOW   (Low and Medium Energy Nucl.Reactons, Moscow 1957)     3000000700035 
           (1st All-Union Conference on Low and Medium Energy     3000000700036 
            Nuclear Reactions, Moscow, USSR, 19-27 Nov. 1957)     3000000700037 
57PARIS    (Radioisotopes in Scient.Res., UNESCO, Paris 1957)     3000000700038 
           (UNESCO Conf. on Radioisotopes in Scientific Research, 3000000700039 
           Paris 9-20 Sep 1957) Edited by Extermann and published 3000000700040 
            in 4 volumes by Pergamon Press in 1958.               3000000700041 
58BERKELEY (Application of Pulsed Neutron Source Techniques Symp.)3000000700042O
           (Symp. on the Application of Pulsed Neutron Source     3000000700043O
           Techniques, Lawrence Radiation Lab, Berkeley, 4-5 Dec  3000000700044O
           1958)                                                  3000000700045O
            ***Published as UCRL-5665.                            3000000700046O
58GENEVA   (Second Internat. At.En. Conf., Geneva 1958)           3000000700047 
           (Second UN Conf. on the Peaceful Uses of Atomic        3000000700048 
           Energy. Geneva, 1-13 Sep 1958)                         3000000700049 
58PARIS    (Nucl. Phys. Congress, Paris 1958)                     3000000700050 
           (International Congress on Nuclear Physics, Nuclear    3000000700051 
           Interactions at Low Energies and Nuclear Structure,    3000000700052 
           Paris, France, 7-12 Jul. 1958)                         3000000700053 
59ANL      (Physics of Breeding Conf)                             3000000700054O
            *** proceedings publ as ANL-6122                      3000000700055O
59CALCUTTA (Low Energy Nuclear Physics Symp., Calcutta 1959)      3000000700056 
           (Symp. on Low Energy Nuclear Physics. Calcutta,        3000000700057 
           19-21 Feb. 1959)                                       3000000700058 
59LONDON   (Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959)  3000000700059 
           (Proceedings of the Int'l Conf.on Nucl.Forces and the  3000000700060 
           Few-Nucleon Problem.  London 1959) published in 1960.  3000000700061 
59TASHKENT (Peaceful Uses of At. En. Conf., Tashkent 1959)        3000000700062 
           (Conf. on the Peaceful Uses of Atomic Energy,          3000000700063 
           Tashkent, USSR, 28 Sep - 3 Oct 1959)                   3000000700064 
59VIENNA   (Panel on Heavy Water Lattices, Vienna 1959)           3000000700065 
           (IAEA Panel on Heavy Water Lattices, Vienna, Sep 1959) 3000000700066 
           =Published by IAEA, Vienna, as STI/PUB/17(1960).       3000000700067 
60BASEL    (Conf.on Polariz.Phenom.in Nucl.React.,Basel 1960)     3000000700068 
           (Conf. of the Swiss Phys.Soc. on Polarization Phenomena3000000700069 
           in Nucl.Reactions, Basel, 4-8 July 1960)               3000000700070 
           Published as suppl. to Helv.Phys.Acta vol.33, 1960     3000000700071 
60KINGSTON (Nuclear Structure Conf., Kingston 1960)               3000000700072 
           (United Nations Conf. on Nuclear Structure,            3000000700073 
           Kingston, Canada, 29 Aug - 3 Sep 1960)                 3000000700074 
60LONDON   (Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959)  3000000700075O
           (Proceedings of the Int'l Conf.on Nucl.Forces and the  3000000700076O
           Few-Nucleon Problem, London 1959) Published in 1960.   3000000700077O
            *** Use 59LONDON                                      3000000700078O
60MOSCOW   (Low and Medium Energy Nucl.Reactons, Moscow 1960)     3000000700079 
           (2nd All-Union Conference on Low and Medium Energy     3000000700080 
            Nuclear Reactions, Moscow, USSR, 21-28 July 1960)     3000000700081 
60SVIENNA  (Radiation Dosimetry Symp., Vienna, 1960)              3000000700082 
           (Symp. on Selected Topics in Radiation Dosimetry,      3000000700083 
           Vienna, Jun 1960)  Published by IAEA as STI/PUB/25.    3000000700084 
60VIENNA   (Pile Neutron Research Symp., Vienna 1960)             3000000700085 
           (IAEA Symp. on Pile Neutron Research in Physics,       3000000700086 
           Vienna, 17-21 Oct 1960)                                3000000700087 
60WALTAIR  (Low Energy Nuclear Physics Symp., Waltair 1960)       3000000700088 
           (Symp. on Low Energy Nuclear Physics, Waltair,         3000000700089 
           India, 24-26 Feb 1960)                                 3000000700090 
60WIEN     (Neutron Inelastic Scattering Symp., Vienna 1960)      3000000700091 
           (IAEA Symp. on Inelastic Scattering of Neutrons in     3000000700092 
           Solids and Liquids, Vienna, 11-14 Oct 1960)            3000000700093 
61BOMBAY   (Nuclear Physics Symp., Bombay 1961)                   3000000700094 
           (Nuclear Physics Symp., Bombay, Feb 1961)              3000000700095 
61BRUSSELS (Neutron Time-of-Flight Colloquium, Brussels 1961)     3000000700096 
           (Colloquium on Neutron Time-of-Flight Methods, Brussels3000000700097 
           1961)                                                  3000000700098 
           ===Note: Existence of this reference in CINDA could not3000000700099 
              be verified.                                        3000000700100 
61BUCHAR   (Research Reactors Conf., Bucuresti,1961)              3000000700101 
           (International Conf. on Physics and Technique of       3000000700102 
           Research Reactors, Bucuresti, Romania, 10-17 Nov. 1961)3000000700103 
           Proceedings published as Supplement to Revue de        3000000700104 
            Physique Vol.6 (1961)                                 3000000700105 
61DUBNA    (Slow Neutron Physics Conf., Dubna 1961)               3000000700106 
           (Conf. on Slow Neutron Physics, Dubna, USSR, 7-12      3000000700107 
           Dec 1961)                                              3000000700108 
61MANCH    (Rutherford Conf., Manchester 1961)                    3000000700109 
           (Rutherford Jubilee International Conf.,               3000000700110 
           Manchester, England, 4-8 Sep 1961)                     3000000700111 
61RPI      (Neutron Physics Symp., Rensselaer Polytech 1961)      3000000700112 
           (Symp. on Neutron Physics, Rensselaer Polytechnic      3000000700113 
           Institute, Troy, NY, May 1961)  Edited by M.L.Yeater   3000000700114 
            as -Neutron Physics-.                                 3000000700115 
61SACLAY   (Time of Flight Methods Conf., Saclay 1961)            3000000700116 
           (EANDC Conf. on Time of Flight Methods, Saclay,        3000000700117 
           France, 24-27 Jul 1961)                                3000000700118 
61VIENNA   (Reactor Physics Sem., Vienna 1961)                    3000000700119 
           (IAEA Seminar on the Physics of Fast and Intermediate  3000000700120 
           Reactors, Vienna, Austria, 3-11 Aug 1961)              3000000700121 
           Proceedings publ as STI/PUB/49 by IAEA.                3000000700122 
61WIEN     (Programming and Utiliz.of Res.Reactors Symp.Wien,1961)3000000700123 
           (IAEA Symp. on the Programming and Utilization of      3000000700124 
           Research Reactors, Vienna, Oct. 1961) Published 1962.  3000000700125 
62BNL      (Neutron Thermalization Conf., Brookhaven 1962)        3000000700126O
           (Conf. on Neutron Thermalization, Brookhaven,          3000000700127O
           30 Apr - 2 May 1962)                                   3000000700128O
           *** Published as BNL-719.                              3000000700129O
62CHALKR   (Neutron Inelastic Scattering Symp., Chalk River 1962) 3000000700130 
           (Symp. on Inelastic Scattering of Neutrons in          3000000700131 
           Liquids and Solids, Chalk River, Canada, 10-14 Sep     3000000700132 
           1962)                                                  3000000700133 
62HARWELL  (Neutron Dosimetry Symp., Harwell 1962)                3000000700134 
           (Symp. on Neutron Dosimetry. Harwell, UK, Dec 1962)    3000000700135 
           =Published by IAEA in Vienna, May 1963.                3000000700136 
62LOSANG   (Radiation Effects Symp., Los Angeles 1962)            3000000700137 
           (ASTM Symp. on Radiation Effects on Metals and         3000000700138 
           Neutron Dosimetry, Los Angeles, CA, 2-3 Oct 1962)      3000000700139 
            American Society For Testing and Materials.           3000000700140 
            ASTM Special Technical Publ. Nr.341, Baltimore, 1963. 3000000700141 
62MADRAS   (Nuclear Physics Symp., Madras 1962)                   3000000700142 
           (Nuclear Physics Symp., Madras, India, 28 Feb - 2      3000000700143 
           Mar 1962)                                              3000000700144 
62MEXICO   (Peaceful Appl.of Nucl.En.Symp., Mexico City 1962)     3000000700145 
           (4th Inter-American Symp. on the Peaceful              3000000700146 
           Applications of Nuclear Energy, Mexico City, Mexico,   3000000700147 
           9-13 Apr 1962)                                         3000000700148 
62PADUA    (Nucl. Reaction Mechanisms Conf., Padua 1962)          3000000700149 
           (Conf. on Direct Interactions and Nuclear Reaction     3000000700150 
           Mechanisms, Padua, Italy, 3-8 Sept 1962)               3000000700151 
62TRIESTE  (Theoretical Physics Lectures, Trieste 1962)           3000000700152 
           (Lectures on Theoretical Physics. Trieste, Italy,      3000000700153 
           Aug 1962)  Published by IAEA in Vienna, 1963.          3000000700154 
62WIEN     (Light Water Lattices Panel, Vienna 1962)              3000000700155 
           (Panel on Light Water Lattices. Vienna, Austria, May-  3000000700156 
           Jun 1962)  Published by IAEA in Vienna Nov 1962.       3000000700157 
63ADAM     (Expon. and Critical Expts.Symp., Amsterdam 1963)      3000000700158 
           (Symp. on Exponential and Critical Experiments.        3000000700159 
           Amsterdam, Netherlands, 2-3 Sep 1963)                  3000000700160 
            Published by IAEA in Vienna 1964.                     3000000700161 
63ANL      (Nucl.Physics with Reactor Neutrons Conf.,Argonne 1963)3000000700162O
           (International Conf. on Nuclear Physics with           3000000700163O
           Reactor Neutrons, Argonne, 15-17 Oct 1963)             3000000700164O
            *** Published as ANL-6797.                            3000000700165O
63BOMBAY   (Nucl.and Sol.State Physics Symp., Bombay 1963)        3000000700166 
           (Symp. on Nuclear Physics and Solid State Physics,     3000000700167 
           Bombay, India, 27 Feb - 2 Mar 1963)                    3000000700168 
63GATLNB   (Conf.on Compound Nuclear States,Gatlinburg 1963)      3000000700169 
           (Topical Conf. on Compound Nuclear States,  Gatlinburg,3000000700170 
           TN, 10-12 Oct. 1963)  Sponsored by Am. Phys. Soc.      3000000700171 
63HOUSTON  (Fast Neutron Physics Conf., Houston 1963)             3000000700172 
           (International Conf. on Fast Neutron Physics,          3000000700173 
           Rice University, Houston, Texas, 26-28 Feb 1963)       3000000700174 
            Proceedings published as 'Progress in Fast Neutron    3000000700175 
            Physics' by Univ.of Chicago Press, 1963               3000000700176 
63KRLSRH   (Neutron Physics Conf., Karlsruhe 1963)                3000000700177 
           (Neutron Physics Conf., Karlsruhe, Germany, 8-10       3000000700178 
           Oct 1963)                                              3000000700179 
63MANCHST  (Nuclear Physics Conf., Manchester 1963)               3000000700180 
           (Conf. on Low and Medium Energy Nuclear Physics,       3000000700181 
           Manchester, U.K., Sep 1963)                            3000000700182 
63OXFORD   (Neutron Flux Detection Symp., Oxford 1963)            3000000700183O
           (AWRE Symp. on Absolute Neutron Flux Detection         3000000700184O
           from 1-100 keV, Oxford, U.K., Sep 1963)                3000000700185O
            *** Published as EANDC-33U                            3000000700186O
63SPAULO   (Research Reactor Utilisation Symp., Sao Paulo 1963)   3000000700187 
           (Symp. on Utilisation of Research Reactors, Sao        3000000700188 
           Paulo, Brazil, 4-8 Nov 1963)                           3000000700189 
64ATHENS   (Crystal Diffraction of Nucl.Gamma Rays, Athens,1964)  3000000700190 
           (Symp. on Crystal Diffraction of Nuclear Gamma Rays,   3000000700191 
           Athens, Greece, 15-17 Jun 1964)  Edited by F.Boehm.    3000000700192 
            Published as TID-7705 = CONF-614                      3000000700193 
64BOMBAY   (Neutron Inelastic Scatt.Symp., Bombay 1964)           3000000700194 
