DICTION             47     202212 Old / New CINDA quantities      3000004700001 
ABS        N,ABS     CS                                           3000004700002 
AEM        N,X+A                                                  3000004700003 
ALF        N,ABS     ALF                                          3000004700004 
CHG        N,F       CHG  *                                       3000004700005 
DEL        N,EL      DA                                           3000004700006 
DEM        N,X+D                                                  3000004700007 
DIN        N,INL                                                  3000004700008 
DNG        N,INL+G                                                3000004700009 
ETA        N,ABS     ETA                                          3000004700010 
EVL        N,X       EVL                                          3000004700011 
FPB        N,F            *                                       3000004700012 
FPG        N,F            *                                       3000004700013 
FRS        N,F            *                                       3000004700014 
GF         G,F                                                    3000004700015 
GN         G,N                                                    3000004700016 
LDL        0,0       NQ                                           3000004700017 
N2N        N,2N                                                   3000004700018 
NA         N,A                                                    3000004700019 
ND         N,D                                                    3000004700020 
NEG        N,X+G                                                  3000004700021 
NEM        N,X+N                                                  3000004700022 
NF         N,F       CS                                           3000004700023 
NFY        N,F       FY   *                                       3000004700024 
NG         N,G                                                    3000004700025 
NHE        N,HE3                                                  3000004700026 
NNA        N,N+A                                                  3000004700027 
NND        N,N+D                                                  3000004700028 
NNP        N,N+P                                                  3000004700029 
NNT        N,N+T                                                  3000004700030 
NP         N,P                                                    3000004700031 
NT         N,T                                                    3000004700032 
NU         N,F       NU   *  if (Energy=Spon) -> 0,F              3000004700033 
NUD        N,F       NUD  *                                       3000004700034 
NUF        N,F       NUF  *                                       3000004700035 
NX         N,X                                                    3000004700036 
NXN        N,XN                                                   3000004700037 
PEM        N,X+P                                                  3000004700038 
POL        N,X       POL                                          3000004700039 
POT        N,EL      POT                                          3000004700040 
RES        N,0       RP                                           3000004700041 
RIA        N,ABS     RI                                           3000004700042 
RIF        N,F       RI                                           3000004700043 
RIG        N,G       RI                                           3000004700044 
SCT        N,SCT                                                  3000004700045 
SEL        N,EL      CS                                           3000004700046 
SFG        N,F       SPC  *                                       3000004700047 
SFN        N,F            *                                       3000004700048 
SIN        N,INL     CS                                           3000004700049 
SNE        N,NON     CS                                           3000004700050 
SNG        N,G                                                    3000004700051 
STF        N,0       RP                                           3000004700052 
TEM        N,X+T                                                  3000004700053 
TOT        N,TOT     CS                                           3000004700054 
TSL        N,THS     TSL                                          3000004700055 
