DICTION            207     202212 Books                           3000020700001 
ABAGJAN    (Abagjan Group Constants)                              3000020700002 
           (Gruppovye Konstanty dlja Rascheta Jadernykh Reaktorov,3000020700003 
           Atomizdat, Moskva, 1964. English translation:          3000020700004 
           Group Constants for Nuclear Reactor Calculations,      3000020700005 
           Consultants Bureau, New York, 1964)                    3000020700006 
           Note= The English version contains some revised data.  3000020700007 
ACT.EL     (Actinide Elements)                                    3000020700008 
           (The Actinide Elements, National Nuclear Energy Series,3000020700009 
           Div IV, Vol 14a 1954, McGraw Hill 1954)                3000020700010 
           =Editors G.T. Seaborg and J.J. Katz.                   3000020700011 
ANCIPOV    (Ancipov et al,Nucl.Data for Pu Isotopes,Minsk 1982)   3000020700012 
           (G.V.Ancipov,V.A.Konshin,E.Sh.Sukhovickij, Yadernye    3000020700013 
           Konstanty dlja Isotopov Plutoniya (Nuclear Data for    3000020700014 
           Plutonium Isotopes), Minsk 1982, in Russian)           3000020700015 
ANDERSEN   (H.H.Andersen,H Stopping Powers and Ranges,Pergamon 77)3000020700016 
           (H.H.Andersen,J.F.Ziegler, Hydrogen Stopping Powers and3000020700017 
           Ranges in All Elements, Pergamon Press, 1977.          3000020700018 
           Vol.3 of Stopping Powers and Ranges of Ions in Matter) 3000020700019 
BAARD      (Baard et al.,Nuclear Data Guide,Kluwer Acad.Publ.1989)3000020700020 
           (J.H. Baard, W.L. Zijp, H.J. Nolthenius, Nuclear Data  3000020700021 
           Guide for Reactor Neutron Metrology, Kluwer Academic   3000020700022 
           Publishers for the CEC, 1989)                          3000020700023 
           =(see also 'Handbooks', page I.18 ff)                  3000020700024 
BELANOVA   (Belanova et al.,Neutron Capt.Cross Sect.,Moscow 1986) 3000020700025 
           (T.S.Belanova,A.V.Ignatjuk,A.B.Pashchenko,V.I.Pljaskin,3000020700026 
           Radiacionnyi Zakhvat Neitronov (Neutron Capture Cross  3000020700027 
           Sections), A Handbook published by Energoatomizdat,    3000020700028 
           Moskva, 1986, in Russian)                              3000020700029 
BLATT      (J.M.Blatt et al., Theoretical Nuclear Physics,NY 1952)3000020700030 
           (J.M.Blatt and V.F.Weisskopf, Theoretical Nuclear      3000020700031 
           Physics, John Wiley & Sons, NY, USA, 1952)             3000020700032 
BROND      (V.N.Manokhin: BROND Documentation, Obninsk 1986)      3000020700033 
           (V.N. Manokhin, Biblioteka Rekomendovannykh Ocenennykh 3000020700034 
           Nejtronnykh Dannykh - Brond (USSR Evaluated Neutron    3000020700035 
           Data Library), Obninsk 1986, in Russian)               3000020700036 
           =English translation see report INDC(CCP)-283          3000020700037 
BROWNE     (Browne et al., Table of Radioactive Isotopes, NY 1986)3000020700038 
           (E.Browne et al., Table of Radioactive Isotopes, 1986, 3000020700039 
           John Wiley & Sons, NY, USA, 1986)                      3000020700040 
BRUNE      (Activation Analysis Handbook, D.Brune)                3000020700041 
           (Activation Analysis Handbook, D.Brune, IAEA Technical 3000020700042 
           Report 156, Vienna 1974, STI/DOC/10/156)               3000020700043 
BYCHKOV    (Bychkov et al,Cross Sect.f.Thresh.React.,Moscow 1982) 3000020700044 
           (V.M.Bychkov, V.N.Manokhin, A.B.Pashchenko, V.I.Pljaski3000020700045 
           Cross-Sections for Neutron-Induced Threshold Reactions,3000020700046 
           Moscow, Energoizdat 1982, in Russian)                  3000020700047 
CDFE/FIS   (Fotojad.Dannye - Fission of Heavy Nuclei,Moscow 1983) 3000020700048 
           (Fotojadernye Dannye (Photonuclear Data) - Fission of  3000020700049 
           Heavy Nuclei, Moscow State Univ., 1983)                3000020700050 
CDFE/FIS2  (Fotojad.Dannye-Photofission of U-235,238, Moscow 1987)3000020700051 
           (Fotojadernye Dannye (Photonuclear Data), Photofission 3000020700052 
           of Uranium 235,238, Moscow State Univ. 1987)           3000020700053 
CDFE/LI    (Fotojad.Dannye - Photodisintegr.of Li, Moscow 1984)   3000020700054 
           (Fotojadernye Dannye (Photonuclear Data) -             3000020700055 
           Photodisintegration of Lithium, Moscow State Univ.,    3000020700056 
           1984)                                                  3000020700057 
CDFE/LI2   (Fotojad.Dannye - Photodisint.of Li,Suppl.,Moscow 1986)3000020700058 
           (Fotojadernye Dannye (Photonuclear Data) -             3000020700059 
           Photodisintegration of Lithium, Supplement, Moscow     3000020700060 
           State Univ.,1986)                                      3000020700061 
CDFE/XG    (Fotojad.Dannye - Gamma,X Gamma'Reactions, Moscow 1985)3000020700062 
           (Fotojadernye Dannye (Photonuclear Data) -             3000020700063 
           Gamma,X Gamma' Reactions, Moscow State Univ., 1985)    3000020700064 
DEMIDOV    (Demidov, Excited States of Nuclei, Alma Ata 1986)     3000020700065 
           (A.M.Demidov et al., Issledovaniya Vozbuzhdennykh      3000020700066 
           Sostoyaniy Yader - Investigation of the Excited States 3000020700067 
           of Nuclei. Alma Ata, "Nauka" edition, 1986, in         3000020700068 
           Russian)                                               3000020700069 
DMITRIEV   (Dmitriev, Yields of Radionuclides, Moscow 1986)       3000020700070 
           (P.P.Dmitriev, Vykhod Radionuklidov V Reakcijakh S     3000020700071 
           Protonami,Dejtronami, Al'Fa-Chasticami I Geliem-3      3000020700072 
            (Yields of Radionuclides from Reactions with Protons, 3000020700073 
           Deuterons,Alphas and He-3), Energoatomizdat,           3000020700074 
           Moscow 1986, in Russian).                              3000020700075 
           =English translation see INDC(CCP)-263                 3000020700076 
EXP.NUC.P. (Experimental Nuclear Physics)                         3000020700077 
           (Experimental Nuclear Physics, Edited by E.Segre,      3000020700078 
           Wiley, N.Y., 1959)                                     3000020700079 
FAST N.PH. (Fast Neutron Physics)                                 3000020700080 
           (Fast Neutron Physics, Marion and Fowler, Interscience,3000020700081 
           N.Y., 1960)                                            3000020700082 
           =Russian translation Fizika Bystryh Neitronov Moskva   3000020700083 
           =Cosatomizdat, 1963.                                   3000020700084 
FIRESTONE  (Table of Isotopes, 8th edition 1996)                  3000020700085 
           (R.B. Firestone et al., Table of Isotopes,             3000020700086 
           8th edition, John Wiley and Sons, NY, USA, 1996)       3000020700087 
FRC        (Fast Reactor Cross-Sections, Pergamon 1960)           3000020700088 
           (S.Yiftah et al, Fast Reactor Cross-Sections, Int'l.   3000020700089 
           Series of Monographs on Nuclear Energy, Pergamon Press 3000020700090 
           1960)                                                  3000020700091 
GAMMAATLAS (Atlas of Gamma-Ray Spectra, Moscow 1978)              3000020700092 
           (Atlas of Gamma-Ray Spectra from the Inelastic         3000020700093 
           Scattering of Reactor Fast Neutrons, Moscow, Atomizdat 3000020700094 
           1978)                                                  3000020700095 
            = INDC(CCP)-120                                       3000020700096 
GRUEBLER   (Gruebler,Reactions Induced by Deuterons, Zurich 1973) 3000020700097 
