DICTION             27     201304 Nuclides                        3000002700001 
16-S-39    (         T   )                                        3000002700185 
16-S-40    (         T   )                                        3000002700186 
16-S-41    (         T   )                                        3000002700187 
16-S-42    (         T   )                                        3000002700188 
16-S-43    (         T   )                                        3000002700189 
16-S-44    (         T   )                                        3000002700190 
16-S-45    (         T   )                                        3000002700191 
17-CL-0    (1        CS  )                                        3000002700192 
17-CL-32   (  3          )                                        3000002700193 
17-CL-33   (  3          )                                        3000002700194 
17-CL-34   (  3      T  1)                                        3000002700195 
17-CL-35   (1234     CS  )                                        3000002700196 
17-CL-36   (1 34     C   )                                        3000002700197 
17-CL-37   (123      CS  )                                        3000002700198 
17-CL-38   (  3      T  A)                                        3000002700199 
17-CL-39   (  3          )                                        3000002700200 
17-CL-40   (  3          )                                        3000002700201 
17-CL-41   (1234         )                                        3000002700202 
17-CL-42   (1234         )                                        3000002700203 
17-CL-43   (1234         )                                        3000002700204 
18-AR-0    (1        CS  )                                        3000002700205 
18-AR-32   (  3          )                                        3000002700206 
18-AR-33   (  3          )                                        3000002700207 
18-AR-34   (  3          )                                        3000002700208 
18-AR-35   (  3      T   )                                        3000002700209 
18-AR-36   (123      CS  )                                        3000002700210 
18-AR-37   (1 34     C   )                                        3000002700211 
18-AR-38   (1 3      CS  )                                        3000002700212 
18-AR-39   (  34     C   )                                        3000002700213 
18-AR-40   (123      CS  )                                        3000002700214 
18-AR-41   (1 3      C   )                                        3000002700215 
18-AR-42   ( 23      T   )                                        3000002700216 
18-AR-43   (  3          )                                        3000002700217 
18-AR-44   ( 23          )                                        3000002700218 
18-AR-45   (  3          )                                        3000002700219 
18-AR-46   (  3          )                                        3000002700220 
19-K-0     (1        CS  )                                        3000002700221 
19-K-35    (123          )                                        3000002700222 
19-K-36    (  3          )                                        3000002700223 
19-K-37    (  3          )                                        3000002700224 
19-K-38    (1 3      C  A)                                        3000002700225 
19-K-39    (1 34     CS  )                                        3000002700226 
19-K-40    (1 34     C   )                                        3000002700227 
19-K-41    (1 34     CS  )                                        3000002700228 
19-K-42    (1 3      C   )                                        3000002700229 
19-K-43    (  3      T   )                                        3000002700230 
19-K-44    (123      C   )                                        3000002700231 
19-K-45    (  3      T   )                                        3000002700232 
19-K-46    (  3      T   )                                        3000002700233 
19-K-47    (  3          )                                        3000002700234 
19-K-48    (123      C   )                                        3000002700235 
19-K-49    (  3          )                                        3000002700236 
19-K-50    (  3          )                                        3000002700237 
19-K-51    (  3          )                                        3000002700238 
19-K-52    (  3          )                                        3000002700239 
19-K-53    (  3          )                                        3000002700240 
20-CA-0    (1        CS  )                                        3000002700241 
20-CA-36   (         T   )                                        3000002700242 
20-CA-37   (123      T   )                                        3000002700243 
20-CA-38   (  3      T   )                                        3000002700244 
20-CA-39   (  3      T   )                                        3000002700245 
20-CA-40   (123      CS  )                                        3000002700246 
20-CA-41   (1 34     C   )                                        3000002700247 
20-CA-42   (1 3      CS  )                                        3000002700248 
20-CA-43   (1 3      CS  )                                        3000002700249 
20-CA-44   (123      CS  )                                        3000002700250 
20-CA-45   (  34     T   )                                        3000002700251 
20-CA-46   (1 3      CS  )                                        3000002700252 
20-CA-47   (  3      T   )                                        3000002700253 
20-CA-48   (123      CS  )                                        3000002700254 
20-CA-49   (  3      T   )                                        3000002700255 
21-SC-40   (  3          )                                        3000002700256 
21-SC-41   (  3          )                                        3000002700257 
21-SC-42   (  3         1)                                        3000002700258 
21-SC-43   (  3          )                                        3000002700259 
21-SC-44   (1 3      C  1)                                        3000002700260 
21-SC-45   (1 34     CS  )                                        3000002700261 
21-SC-46   (1 34     C  1)                                        3000002700262 
21-SC-47   (1 3      C   )                                        3000002700263 
21-SC-48   (1 3      C   )                                        3000002700264 
21-SC-49   (  3      T   )                                        3000002700265 
21-SC-50   (  3      T  A)                                        3000002700266 
